R_fighter,B_fighter,R_KD,B_KD,R_SIG_STR_pct,B_SIG_STR_pct,R_TD_pct,B_TD_pct,R_SUB_ATT,B_SUB_ATT,R_PASS,B_PASS,R_REV,B_REV,win_by,last_round,date,location,R_SIG_STR._ATT,R_SIG_STR._LANDED,B_SIG_STR._ATT,B_SIG_STR._LANDED,R_TOTAL_STR._ATT,R_TOTAL_STR._LANDED,B_TOTAL_STR._ATT,B_TOTAL_STR._LANDED,R_TD_ATT,R_TD_LANDED,B_TD_ATT,B_TD_LANDED,R_HEAD_ATT,R_HEAD_LANDED,B_HEAD_ATT,B_HEAD_LANDED,R_BODY_ATT,R_BODY_LANDED,B_BODY_ATT,B_BODY_LANDED,R_LEG_ATT,R_LEG_LANDED,B_LEG_ATT,B_LEG_LANDED,R_DISTANCE_ATT,R_DISTANCE_LANDED,B_DISTANCE_ATT,B_DISTANCE_LANDED,R_CLINCH_ATT,R_CLINCH_LANDED,B_CLINCH_ATT,B_CLINCH_LANDED,R_GROUND_ATT,R_GROUND_LANDED,B_GROUND_ATT,B_GROUND_LANDED,title_bout,weight_class,total_time_fought(sec),no_of_rounds,Red_win
Grant Dawson,Darrick Minner,0,0,0.68,0.57,0.66,1.0,2,2,6,0,0,1,Submission,2,2020-02-29,0,22,15,7,4,52,42,29,26,3,2,1,1,21,14,3,1,1,1,1,1,0,0,3,2,2,1,5,2,0,0,1,1,20,14,1,1,0,Featherweight,398,3,1
Gabriel Silva,Kyler Phillips,0,0,0.31,0.52,0.33,0.5,1,1,0,4,0,0,Other,3,2020-02-29,0,97,31,168,89,112,43,195,112,6,2,4,2,85,22,139,66,9,6,19,13,3,3,10,10,89,27,124,58,3,1,15,11,5,3,29,20,0,Bantamweight,900,3,0
Brendan Allen,Tom Breese,0,0,0.68,0.8,0.0,0.0,0,0,2,0,0,0,KO,1,2020-02-29,0,29,20,5,4,52,38,6,5,1,0,1,0,26,17,0,0,3,3,5,4,0,0,0,0,3,2,1,0,3,2,4,4,23,16,0,0,0,Middleweight,287,3,1
Marcin Tybura,Serghei Spivac,0,0,0.4,0.31,0.25,0.0,0,0,3,0,0,0,Other,3,2020-02-29,0,106,43,83,26,199,116,101,40,8,2,1,0,90,36,80,23,16,7,3,3,0,0,0,0,63,15,74,20,8,5,9,6,35,23,0,0,0,Heavyweight,900,3,1
Luis Pena,Steve Garcia,0,0,0.64,0.53,0.0,1.0,1,1,3,0,0,0,Other,3,2020-02-29,0,42,27,39,21,95,58,153,98,1,0,1,1,38,24,32,15,2,1,3,2,2,2,4,4,15,6,27,14,3,2,1,1,24,19,11,6,0,Lightweight,900,3,1
Jordan Griffin,TJ Brown,0,0,0.65,0.68,0.0,1.0,3,0,0,4,0,0,Submission,2,2020-02-29,0,23,15,47,32,28,20,119,91,1,0,7,7,21,13,39,26,2,2,7,6,0,0,1,0,17,9,22,9,3,3,10,10,3,3,15,13,0,Featherweight,518,3,1
Aalon Cruz,Spike Carlyle,0,0,0.16,0.68,0.0,0.0,0,0,0,1,0,0,KO,1,2020-02-29,0,12,2,29,20,12,2,38,29,1,0,0,0,4,2,27,19,4,0,1,0,4,0,1,1,12,2,6,2,0,0,5,4,0,0,18,14,0,Featherweight,85,3,0
Sean Brady,Ismail Naurdiev,0,0,0.51,0.42,0.44,0.0,1,0,6,0,0,0,Other,3,2020-02-29,0,91,47,87,37,191,125,88,38,9,4,1,0,71,30,64,16,3,3,10,10,17,14,13,11,73,32,79,33,1,1,8,4,17,14,0,0,0,Welterweight,900,3,1
Paul Felder,Dan Hooker,0,0,0.47,0.55,0.0,0.2,0,0,0,1,0,0,Other,5,2020-02-22,0,230,110,221,122,243,119,234,133,1,0,5,1,170,64,161,72,26,19,13,10,34,27,47,40,218,105,217,120,12,5,4,2,0,0,0,0,0,Lightweight,1500,5,0
Jimmy Crute,Michal Oleksiejczuk,0,0,0.25,0.5,0.8,0.0,1,0,4,0,0,0,Submission,1,2020-02-22,0,8,2,6,3,23,13,10,7,10,8,0,0,7,2,6,3,1,0,0,0,0,0,0,0,6,2,6,3,2,0,0,0,0,0,0,0,0,Light Heavyweight,209,3,1
Karolina Kowalkiewicz,Xiaonan Yan,0,0,0.44,0.52,0.0,0.83,1,0,0,3,0,0,Other,3,2020-02-22,0,85,38,178,93,103,51,254,157,1,0,6,5,55,19,138,59,14,7,23,20,16,12,17,14,79,35,151,73,6,3,10,7,0,0,17,13,0,Women's Strawweight,900,3,0
Ben Sosoli,Marcos Rogerio de Lima,0,1,0.29,0.55,0.0,0.0,0,0,0,0,0,0,KO,1,2020-02-22,0,17,5,34,19,17,5,34,19,0,0,0,0,16,4,30,15,1,1,2,2,0,0,2,2,17,5,33,18,0,0,0,0,0,0,1,1,0,Heavyweight,88,3,0
Brad Riddell,Magomed Mustafaev,1,0,0.52,0.6,1.0,0.72,0,0,2,0,0,0,Other,3,2020-02-22,0,72,38,46,28,97,60,56,36,1,1,11,8,49,21,23,10,17,12,11,7,6,5,12,11,45,20,27,12,3,3,10,8,24,15,9,8,0,Lightweight,900,3,1
Kevin Aguilar,Zubaira Tukhugov,0,2,0.32,0.77,0.0,0.0,0,0,0,0,0,0,KO,1,2020-02-22,0,28,9,36,28,28,9,37,28,0,0,0,0,22,4,34,26,4,3,2,2,2,2,0,0,28,9,22,15,0,0,0,0,0,0,14,13,0,Featherweight,201,3,0
Jalin Turner,Josh Culibao,0,0,0.6,0.42,0.0,0.0,3,0,4,0,0,0,KO,2,2020-02-22,0,91,55,28,12,129,90,30,12,1,0,3,0,65,38,21,7,25,17,6,4,1,0,1,1,37,14,23,9,15,9,5,3,39,32,0,0,0,Lightweight,481,3,1
Jake Matthews,Emil Meek,1,0,0.45,0.42,0.57,0.0,0,0,3,0,0,0,Other,3,2020-02-22,0,73,33,118,50,112,71,162,85,7,4,1,0,70,32,95,35,3,1,12,10,0,0,11,5,62,26,78,19,5,4,29,21,6,3,11,10,0,Welterweight,900,3,1
Callan Potter,Kenan Song,0,1,0.46,0.48,1.0,0.0,0,0,1,0,0,0,KO,1,2020-02-22,0,15,7,35,17,17,8,40,21,1,1,0,0,14,6,29,12,1,1,6,5,0,0,0,0,12,5,29,14,3,2,5,2,0,0,1,1,0,Welterweight,140,3,0
Kai Kara-France,Tyson Nam,0,0,0.3,0.32,0.0,0.0,0,0,0,0,0,0,Other,3,2020-02-22,0,257,78,153,50,257,78,155,52,4,0,4,0,218,51,131,34,17,9,17,11,22,18,5,5,246,72,146,48,9,5,7,2,2,1,0,0,0,Flyweight,900,3,1
Loma Lookboonmee,Angela Hill,0,0,0.4,0.38,1.0,0.25,0,1,0,1,0,0,Other,3,2020-02-22,0,130,53,126,48,156,68,163,70,1,1,4,1,83,24,101,38,29,15,22,8,18,14,3,2,115,43,90,31,14,10,31,14,1,0,5,3,0,Women's Strawweight,900,3,0
Priscila Cachoeira,Shana Dobson,1,0,0.44,0.45,0.0,0.0,0,0,0,0,0,0,KO,1,2020-02-22,0,18,8,11,5,18,8,11,5,0,0,0,0,18,8,9,4,0,0,2,1,0,0,0,0,17,8,11,5,0,0,0,0,1,0,0,0,0,Women's Flyweight,40,3,1
Corey Anderson,Jan Blachowicz,0,1,0.4,0.41,0.0,0.0,0,0,0,0,0,0,KO,1,2020-02-15,0,27,11,31,13,27,11,31,13,0,0,0,0,19,4,27,11,4,3,3,1,4,4,1,1,27,11,29,12,0,0,1,0,0,0,1,1,0,Light Heavyweight,188,5,0
Diego Sanchez,Michel Pereira,0,1,0.39,0.58,0.0,1.0,0,0,0,0,0,0,Other,3,2020-02-15,0,64,25,91,53,68,29,94,56,6,0,2,2,34,6,52,20,17,10,33,28,13,9,6,5,61,23,75,39,2,1,11,10,1,1,5,4,0,Welterweight,789,3,1
Montana De La Rosa,Mara Romero Borella,1,0,0.4,0.43,0.33,0.5,1,0,6,0,0,0,Other,3,2020-02-15,0,67,27,53,23,128,74,99,64,3,1,2,1,51,15,44,15,10,8,4,3,6,4,5,5,51,14,44,15,6,4,6,5,10,9,3,3,0,Women's Flyweight,900,3,1
Brok Weaver,Kazula Vargas,0,0,0.55,0.51,0.0,0.5,1,0,0,0,0,0,Other,1,2020-02-15,0,9,5,29,15,10,6,64,50,0,0,2,1,6,3,14,6,0,0,10,5,3,2,5,4,7,4,21,9,1,0,5,3,1,1,3,3,0,Lightweight,242,3,1
