R_fighter,B_fighter,R_KD,B_KD,R_SIG_STR_pct,B_SIG_STR_pct,R_TD_pct,B_TD_pct,R_SUB_ATT,B_SUB_ATT,R_PASS,B_PASS,R_REV,B_REV,win_by,last_round,date,location,R_SIG_STR._ATT,R_SIG_STR._LANDED,B_SIG_STR._ATT,B_SIG_STR._LANDED,R_TOTAL_STR._ATT,R_TOTAL_STR._LANDED,B_TOTAL_STR._ATT,B_TOTAL_STR._LANDED,R_TD_ATT,R_TD_LANDED,B_TD_ATT,B_TD_LANDED,R_HEAD_ATT,R_HEAD_LANDED,B_HEAD_ATT,B_HEAD_LANDED,R_BODY_ATT,R_BODY_LANDED,B_BODY_ATT,B_BODY_LANDED,R_LEG_ATT,R_LEG_LANDED,B_LEG_ATT,B_LEG_LANDED,R_DISTANCE_ATT,R_DISTANCE_LANDED,B_DISTANCE_ATT,B_DISTANCE_LANDED,R_CLINCH_ATT,R_CLINCH_LANDED,B_CLINCH_ATT,B_CLINCH_LANDED,R_GROUND_ATT,R_GROUND_LANDED,B_GROUND_ATT,B_GROUND_LANDED,title_bout,weight_class,total_time_fought(sec),no_of_rounds,Red_win
Chad Laprise,Yosdenis Cedeno,0,0,0.42,0.18,0.57,0.0,0,0,5,0,0,2,Other,3,2014-10-04,0,83,35,94,17,106,55,107,26,7,4,1,0,64,18,76,6,6,4,8,4,13,13,10,7,75,30,87,12,8,5,6,5,0,0,1,0,0,Lightweight,900,3,1
Elias Theodorou,Bruno Santos,0,0,0.4,0.4,0.42,0.66,0,0,2,2,0,0,Other,3,2014-10-04,0,106,43,40,16,178,104,54,29,7,3,6,4,75,18,34,10,27,21,4,4,4,4,2,2,76,21,31,9,24,16,9,7,6,6,0,0,0,Middleweight,900,3,1
Nordine Taleb,Jingliang Li,0,0,0.57,0.29,0.5,0.25,0,0,0,0,0,0,Other,3,2014-10-04,0,115,66,147,43,141,92,165,57,4,2,8,2,96,49,118,22,9,7,4,2,10,10,25,19,107,61,143,40,6,5,4,3,2,0,0,0,0,Welterweight,900,3,1
Mitch Gagnon,Roman Salazar,0,0,0.29,0.5,0.5,0.0,1,0,1,0,0,0,Submission,1,2014-10-04,0,17,5,6,3,18,6,6,3,2,1,2,0,16,5,4,1,1,0,1,1,0,0,1,1,13,3,5,2,2,1,1,1,2,1,0,0,0,Bantamweight,126,3,1
Daron Cruickshank,Anthony Njokuani,0,0,0.4,0.43,0.5,0.0,0,0,1,0,0,0,Other,3,2014-10-04,0,103,42,91,40,116,54,95,44,12,6,1,0,79,28,49,10,14,6,18,10,10,8,24,20,86,29,88,38,4,2,3,2,13,11,0,0,0,Lightweight,900,3,1
Olivier Aubin-Mercier,Jake Lindsey,0,0,0.64,0.46,0.4,1.0,1,0,4,1,0,0,Submission,2,2014-10-04,0,48,31,52,24,61,44,111,82,5,2,1,1,38,22,22,3,8,7,11,6,2,2,19,15,40,25,44,19,3,3,6,4,5,3,2,1,0,Lightweight,502,3,1
Jason Saggo,Paul Felder,1,0,0.58,0.6,0.37,1.0,0,0,7,1,1,0,Other,3,2014-10-04,0,50,29,84,51,77,45,109,72,16,6,1,1,38,21,77,44,5,3,4,4,7,5,3,3,29,14,26,12,5,4,21,15,16,11,37,24,0,Lightweight,900,3,0
Paddy Holohan,Chris Kelades,0,0,0.57,0.58,0.5,0.4,0,1,4,5,0,0,Other,3,2014-10-04,0,45,26,85,50,76,55,128,88,6,3,5,2,30,13,62,30,7,5,17,15,8,8,6,5,34,17,28,9,2,1,16,15,9,8,41,26,0,Flyweight,900,3,0
Albert Tumenov,Matt Dwyer,2,0,0.33,0.0,0.0,0.0,0,0,0,0,0,0,KO,1,2014-10-04,0,12,4,6,0,12,4,6,0,0,0,0,0,12,4,5,0,0,0,1,0,0,0,0,0,7,2,6,0,0,0,0,0,5,2,0,0,0,Welterweight,63,3,1
Pedro Munhoz,Jerrod Sanders,0,0,1.0,0.5,0.0,0.0,1,0,0,0,0,0,Other,1,2014-10-04,0,2,2,2,1,2,2,2,1,0,0,1,0,0,0,1,0,0,0,0,0,2,2,1,1,2,2,2,1,0,0,0,0,0,0,0,0,0,Bantamweight,39,3,0
Gunnar Nelson,Rick Story,0,1,0.49,0.53,0.25,1.0,0,0,0,0,0,0,Other,5,2014-10-04,0,107,53,315,168,108,54,360,211,4,1,1,1,87,39,211,81,16,12,73,58,4,2,31,29,103,49,270,137,4,4,33,24,0,0,12,7,0,Welterweight,1500,5,0
Akira Corassani,Max Holloway,0,1,0.37,0.6,0.0,0.0,0,0,0,0,0,0,KO,1,2014-10-04,0,29,11,51,31,29,11,62,38,0,0,0,0,23,8,42,25,1,1,6,4,5,2,3,2,26,10,36,20,3,1,6,4,0,0,9,7,0,Featherweight,191,3,0
Ilir Latifi,Jan Blachowicz,0,0,0.33,0.65,0.0,0.0,0,0,0,0,0,0,KO,1,2014-10-04,0,6,2,20,13,6,2,21,14,0,0,0,0,6,2,15,9,0,0,2,1,0,0,3,3,6,2,12,6,0,0,0,0,0,0,8,7,0,Light Heavyweight,118,3,0
Niklas Backstrom,Mike Wilkinson,0,1,0.58,0.4,0.0,0.0,0,0,0,0,0,0,KO,1,2014-10-04,0,12,7,15,6,12,7,16,7,0,0,1,0,9,4,12,4,0,0,1,0,3,3,2,2,10,5,10,3,2,2,0,0,0,0,5,3,0,Featherweight,79,3,0
Magnus Cedenblad,Scott Askham,0,1,0.67,0.82,0.5,0.0,0,0,1,0,0,0,Other,3,2014-10-04,0,34,23,51,42,193,179,95,86,6,3,1,0,19,10,22,16,7,5,14,12,8,8,15,14,18,10,23,16,13,11,26,24,3,2,2,2,0,Middleweight,900,3,1
Nico Musoke,Alexander Yakovlev,0,0,0.44,0.41,0.0,0.0,0,0,0,0,0,0,Other,3,2014-10-04,0,156,70,107,44,183,97,107,44,4,0,9,0,126,41,83,24,16,15,15,11,14,14,9,9,135,53,106,43,21,17,1,1,0,0,0,0,0,Welterweight,900,3,1
Dennis Siver,Charles Rosa,0,0,0.38,0.24,1.0,0.5,1,1,15,1,2,3,Other,3,2014-10-04,0,86,33,91,22,171,109,99,29,3,3,4,2,71,22,73,15,7,4,8,2,8,7,10,5,84,31,89,22,0,0,0,0,2,2,2,0,0,Featherweight,900,3,1
Cathal Pendred,Gasan Umalatov,0,0,0.53,0.39,0.07,0.0,0,0,1,0,0,0,Other,3,2014-10-04,0,103,55,97,38,106,58,116,54,14,1,1,0,58,14,81,28,14,12,9,4,31,29,7,6,96,48,91,35,7,7,4,3,0,0,2,0,0,Welterweight,900,3,1
Tor Troeng,Krzysztof Jotko,0,0,0.31,0.75,0.0,0.5,0,0,0,0,0,0,Other,3,2014-10-04,0,47,15,98,74,60,26,159,132,19,0,2,1,37,6,53,30,5,4,32,31,5,5,13,13,36,6,36,18,11,9,57,52,0,0,5,4,0,Middleweight,900,3,0
Mairbek Taisumov,Marcin Bandel,1,0,0.9,0.42,0.0,0.0,0,0,0,0,0,0,KO,1,2014-10-04,0,10,9,7,3,10,9,7,3,0,0,0,0,9,8,7,3,0,0,0,0,1,1,0,0,7,6,7,3,0,0,0,0,3,3,0,0,0,Lightweight,61,3,1
Zubaira Tukhugov,Ernest Chavez,0,0,0.59,0.4,0.0,0.0,0,0,0,0,0,0,KO,1,2014-10-04,0,67,40,30,12,70,43,30,12,0,0,0,0,60,34,24,9,6,5,1,0,1,1,5,3,52,27,30,12,9,8,0,0,6,5,0,0,0,Featherweight,261,3,1
Demetrious Johnson,Chris Cariaso,0,0,0.62,0.22,1.0,0.0,2,0,4,0,0,0,Submission,2,2014-09-27,1,43,27,27,6,66,47,35,13,1,1,1,0,24,12,19,1,15,13,3,2,4,2,5,3,18,7,25,4,11,10,2,2,14,10,0,0,1,Flyweight,449,5,1
Donald Cerrone,Eddie Alvarez,1,0,0.53,0.34,0.0,0.0,0,0,1,0,0,0,Other,3,2014-09-27,1,166,88,138,48,182,101,157,64,2,0,5,0,104,34,111,36,35,28,24,10,27,26,3,2,132,65,114,34,23,17,24,14,11,6,0,0,0,Lightweight,900,3,1
Dustin Poirier,Conor McGregor,0,1,0.52,0.31,0.0,0.0,0,0,0,0,0,0,KO,1,2014-09-27,1,19,10,29,9,19,10,29,9,0,0,0,0,11,3,25,8,0,0,4,1,8,7,0,0,19,10,25,5,0,0,0,0,0,0,4,4,0,Featherweight,106,3,0
Tim Kennedy,Yoel Romero,0,2,0.34,0.48,0.0,0.75,1,0,0,1,0,0,KO,3,2014-09-27,1,86,30,80,39,88,32,93,51,6,0,4,3,58,17,62,28,21,9,6,3,7,4,12,8,71,21,58,25,15,9,8,5,0,0,14,9,0,Middleweight,658,3,0
Cat Zingano,Amanda Nunes,0,0,0.66,0.59,1.0,0.5,3,0,5,1,0,0,KO,3,2014-09-27,1,60,40,37,22,116,93,54,36,3,3,2,1,49,31,34,19,9,7,1,1,2,2,2,2,5,1,2,1,8,7,3,1,47,32,32,20,0,Women's Bantamweight,681,3,1
Dominick Cruz,Takeya Mizugaki,0,0,0.74,0.2,1.0,0.0,0,0,1,0,0,0,KO,1,2014-09-27,1,35,26,10,2,35,26,11,3,2,2,0,0,35,26,9,2,0,0,1,0,0,0,0,0,9,4,10,2,0,0,0,0,26,22,0,0,0,Bantamweight,61,3,1
Jorge Masvidal,James Krause,1,0,0.43,0.4,0.5,0.0,0,0,2,0,1,0,Other,3,2014-09-27,1,157,69,145,58,176,85,148,61,4,2,5,0,119,42,117,44,29,23,18,8,9,4,10,6,139,54,142,57,16,13,3,1,2,2,0,0,0,Lightweight,900,3,1
Patrick Cote,Stephen Thompson,0,1,0.43,0.47,0.0,0.0,0,0,0,0,0,0,Other,3,2014-09-27,1,123,53,134,64,125,55,138,67,8,0,0,0,52,9,109,46,26,8,16,9,45,36,9,9,109,41,116,52,14,12,9,8,0,0,9,4,0,Welterweight,900,3,0
John Howard,Brian Ebersole,0,0,0.63,0.52,0.5,0.2,0,0,2,2,0,1,Other,3,2014-09-27,1,66,42,94,49,128,97,156,104,4,2,5,1,40,19,53,21,10,8,14,7,16,15,27,21,40,26,72,32,26,16,18,13,0,0,4,4,0,Welterweight,900,3,0
Jon Tuck,Kevin Lee,0,0,0.37,0.47,0.0,0.44,2,0,0,3,0,0,Other,3,2014-09-27,1,80,30,157,74,125,68,190,100,0,0,9,4,60,13,131,53,13,10,26,21,7,7,0,0,61,20,84,24,14,7,27,19,5,3,46,31,0,Lightweight,900,3,0
Manvel Gamburyan,Cody Gibson,0,1,0.21,0.41,0.33,0.5,1,0,0,3,0,0,Submission,2,2014-09-27,1,52,11,118,49,63,20,131,61,6,2,2,1,43,5,103,35,4,2,12,11,5,4,3,3,43,8,86,28,8,3,25,17,1,0,7,4,0,Bantamweight,596,3,1
Mark Hunt,Roy Nelson,1,0,0.35,0.33,0.0,0.16,0,0,0,1,0,0,KO,2,2014-09-20,0,91,32,60,20,91,32,60,20,0,0,6,1,85,28,54,16,5,3,3,2,1,1,3,2,85,28,60,20,6,4,0,0,0,0,0,0,0,Heavyweight,480,5,1
Myles Jury,Takanori Gomi,1,0,0.43,0.25,0.0,0.0,0,0,0,0,0,0,KO,1,2014-09-20,0,23,10,4,1,23,10,4,1,1,0,0,0,17,7,3,0,4,1,1,1,2,2,0,0,15,4,4,1,0,0,0,0,8,6,0,0,0,Lightweight,92,3,1
Yoshihiro Akiyama,Amir Sadollah,0,0,0.47,0.41,0.4,0.0,0,0,3,0,0,0,Other,3,2014-09-20,0,119,57,101,42,165,94,124,63,5,2,0,0,113,51,77,24,6,6,5,4,0,0,19,14,60,26,84,31,1,0,8,6,58,31,9,5,0,Welterweight,900,3,1
Miesha Tate,Rin Nakai,0,0,0.47,0.34,0.25,0.15,0,0,0,2,0,0,Other,3,2014-09-20,0,116,55,47,16,150,88,86,52,4,1,19,3,87,33,28,7,24,18,16,6,5,4,3,3,79,28,24,7,33,25,21,9,4,2,2,0,0,Women's Bantamweight,900,3,1
Kiichi Kunimoto,Richard Walsh,0,2,0.39,0.56,0.1,0.0,0,0,1,0,0,0,Other,3,2014-09-20,0,92,36,105,59,128,62,142,96,10,1,0,0,70,16,70,31,16,14,16,10,6,6,19,18,72,20,80,41,18,14,21,14,2,2,4,4,0,Welterweight,900,3,1
Kyoji Horiguchi,Jon Delos Reyes,0,0,0.72,0.52,0.0,0.0,0,0,1,0,0,0,KO,1,2014-09-20,0,43,31,25,13,62,49,30,18,0,0,0,0,34,22,16,4,9,9,4,4,0,0,5,5,15,11,16,6,17,11,9,7,11,9,0,0,0,Flyweight,228,3,1
Alex Caceres,Masanori Kanehara,0,0,0.3,0.46,0.0,0.5,0,2,0,1,1,0,Other,3,2014-09-20,0,78,24,69,32,87,33,145,102,0,0,4,2,60,14,62,29,11,5,3,0,7,5,4,3,72,20,54,20,6,4,14,11,0,0,1,1,0,Bantamweight,900,3,0
Katsunori Kikuno,Sam Sicilia,0,0,0.41,0.39,1.0,0.0,1,0,0,0,0,0,Submission,2,2014-09-20,0,78,32,91,36,79,33,92,37,1,1,0,0,60,20,64,18,8,3,12,7,10,9,15,11,74,30,79,27,4,2,12,9,0,0,0,0,0,Featherweight,398,3,1
Hyun Gyu Lim,Takenori Sato,1,0,0.76,0.33,0.0,0.0,0,0,0,0,0,0,KO,1,2014-09-20,0,13,10,3,1,18,15,4,2,0,0,2,0,13,10,0,0,0,0,1,0,0,0,2,1,3,0,3,1,3,3,0,0,7,7,0,0,0,Welterweight,78,3,1
Michinori Tanaka,Kyung Ho Kang,0,0,0.36,0.31,0.33,0.0,0,2,4,10,4,1,Other,3,2014-09-20,0,61,22,66,21,81,39,89,42,9,3,0,0,58,20,56,15,3,2,4,3,0,0,6,3,44,9,61,16,2,2,2,2,15,11,3,3,0,Bantamweight,900,3,0
Kazuki Tokudome,Johnny Case,0,1,0.41,0.17,0.25,0.0,0,1,1,0,0,0,Submission,2,2014-09-20,0,29,12,73,13,30,13,80,20,4,1,1,0,27,10,67,11,0,0,2,0,2,2,4,2,26,9,69,11,2,2,3,1,1,1,1,1,0,Lightweight,454,3,0
Maximo Blanco,Dan Hooker,0,0,0.55,0.41,0.23,0.0,0,0,1,0,0,0,Other,3,2014-09-20,0,240,132,236,99,246,137,253,116,13,3,0,0,232,128,201,75,8,4,27,19,0,0,8,5,198,109,174,66,41,22,62,33,1,1,0,0,0,Featherweight,900,3,1
Antonio Silva,Andrei Arlovski,0,1,0.46,0.39,0.0,0.0,0,0,0,0,0,0,KO,1,2014-09-13,0,13,6,33,13,13,6,34,14,0,0,0,0,7,2,27,8,3,2,5,4,3,2,1,1,11,5,26,8,2,1,3,1,0,0,4,4,0,Heavyweight,179,5,0
Gleison Tibau,Piotr Hallmann,0,0,0.4,0.46,0.45,0.0,0,0,0,0,0,0,Other,3,2014-09-13,0,74,30,113,52,89,41,148,86,11,5,0,0,61,22,48,11,9,4,46,28,4,4,19,13,60,20,62,23,14,10,51,29,0,0,0,0,0,Lightweight,900,3,1
Leonardo Santos,Efrain Escudero,0,1,0.36,0.42,0.5,0.0,0,0,6,0,0,0,Other,3,2014-09-13,0,98,36,101,43,132,66,143,77,4,2,0,0,75,23,80,27,17,7,11,6,6,6,10,10,79,20,92,37,3,1,5,4,16,15,4,2,0,Lightweight,900,3,1
Santiago Ponzinibbio,Wendell Oliveira,1,0,0.38,0.33,0.0,0.0,0,0,0,0,0,0,KO,1,2014-09-13,0,26,10,24,8,26,10,24,8,0,0,0,0,24,10,20,4,2,0,0,0,0,0,4,4,23,9,24,8,1,0,0,0,2,1,0,0,0,Welterweight,80,3,1
Iuri Alcantara,Russell Doane,0,0,0.51,0.34,0.5,0.5,0,0,3,1,0,1,Other,3,2014-09-13,0,52,27,41,14,88,59,139,98,4,2,12,6,29,11,40,13,23,16,1,1,0,0,0,0,42,19,18,2,3,3,2,1,7,5,21,11,0,Bantamweight,900,3,1
Jessica Andrade,Larissa Pacheco,0,0,0.79,0.46,1.0,0.0,2,0,6,0,0,0,Submission,1,2014-09-13,0,24,19,13,6,52,44,18,11,1,1,1,0,19,14,12,5,5,5,1,1,0,0,0,0,4,1,8,3,0,0,1,1,20,18,4,2,0,Women's Bantamweight,273,3,1
Godofredo Pepey,Dashon Johnson,0,0,0.4,0.63,0.0,0.5,2,0,0,0,1,0,Submission,1,2014-09-13,0,20,8,11,7,21,9,15,11,0,0,2,1,18,8,8,4,1,0,2,2,1,0,1,1,15,3,7,3,0,0,1,1,5,5,3,3,0,Featherweight,269,3,1
Igor Araujo,George Sullivan,0,0,0.4,0.68,0.28,0.5,0,0,0,3,0,0,KO,2,2014-09-13,0,20,8,63,43,20,8,137,111,7,2,2,1,10,2,52,32,5,2,8,8,5,4,3,3,19,7,24,5,1,1,2,2,0,0,37,36,0,Welterweight,451,3,0
Francisco Trinaldo,Leandro Silva,0,0,0.66,0.65,0.0,0.5,0,1,1,4,1,0,Other,3,2014-09-13,0,54,36,40,26,86,67,77,63,2,0,8,4,32,16,25,15,14,12,11,7,8,8,4,4,36,22,32,18,12,10,8,8,6,4,0,0,0,Lightweight,900,3,1
Paulo Thiago,Sean Spencer,0,1,0.32,0.39,0.0,0.5,0,0,0,5,1,0,Other,3,2014-09-13,0,111,36,159,63,123,46,202,105,7,0,2,1,95,25,135,46,14,9,20,13,2,2,4,4,106,32,141,47,5,4,5,4,0,0,13,12,0,Welterweight,900,3,0
Rani Yahya,Johnny Bedford,0,0,0.46,0.45,0.5,0.0,2,0,3,3,0,0,Submission,2,2014-09-13,0,28,13,20,9,31,16,34,19,6,3,0,0,23,8,15,4,3,3,5,5,2,2,0,0,26,12,14,3,2,1,0,0,0,0,6,6,0,Bantamweight,424,3,1
Jacare Souza,Gegard Mousasi,0,0,0.57,0.46,0.4,0.0,1,0,7,0,0,0,Submission,3,2014-09-05,0,56,32,56,26,86,59,109,78,10,4,0,0,37,15,53,23,11,9,1,1,8,8,2,2,39,16,45,19,6,5,11,7,11,11,0,0,0,Middleweight,870,5,1
Alistair Overeem,Ben Rothwell,0,1,0.95,0.62,0.0,0.0,0,0,0,0,0,0,KO,1,2014-09-05,0,21,20,27,17,21,20,32,22,1,0,0,0,6,5,25,15,7,7,2,2,8,8,0,0,19,18,22,12,2,2,0,0,0,0,5,5,0,Heavyweight,139,3,0
Matt Mitrione,Derrick Lewis,0,0,0.63,1.0,0.0,0.0,0,0,0,0,0,0,KO,1,2014-09-05,0,11,7,1,1,13,9,1,1,0,0,0,0,11,7,1,1,0,0,0,0,0,0,0,0,3,2,1,1,0,0,0,0,8,5,0,0,0,Heavyweight,41,3,1
Joe Lauzon,Michael Chiesa,0,0,0.51,0.52,0.28,0.25,0,0,1,1,1,0,KO,2,2014-09-05,0,41,21,57,30,66,42,70,42,7,2,4,1,37,17,40,14,4,4,11,10,0,0,6,6,27,10,43,19,4,4,14,11,10,7,0,0,0,Lightweight,434,3,1
John Moraga,Justin Scoggins,0,0,0.33,0.72,0.0,1.0,3,0,0,6,0,0,Submission,2,2014-09-05,0,12,4,18,13,22,13,41,34,0,0,3,3,6,2,11,6,2,0,3,3,4,2,4,4,12,4,16,11,0,0,0,0,0,0,2,2,0,Flyweight,347,3,1
Al Iaquinta,Rodrigo Damm,1,0,0.42,0.32,0.0,0.0,0,0,0,0,0,0,KO,3,2014-09-05,0,221,93,177,57,221,93,177,57,0,0,5,0,183,67,168,51,26,14,6,5,12,12,3,1,217,90,177,57,3,2,0,0,1,1,0,0,0,Lightweight,746,3,1
Rafael Natal,Chris Camozzi,0,0,0.49,0.59,0.16,0.0,0,0,0,0,0,0,Other,3,2014-09-05,0,73,36,112,67,84,46,134,86,12,2,1,0,36,6,82,39,22,16,10,10,15,14,20,18,65,30,100,57,8,6,12,10,0,0,0,0,0,Middleweight,900,3,1
Chris Beal,Tateki Matsuda,0,0,0.36,0.36,0.75,0.0,1,0,5,1,1,1,Other,3,2014-09-05,0,123,45,111,41,144,66,142,70,4,3,1,0,117,40,74,19,5,4,8,4,1,1,29,18,77,15,105,37,11,7,3,1,35,23,3,3,0,Bantamweight,900,3,1
Sean Soriano,Chas Skelly,0,0,0.5,0.36,0.0,0.57,0,7,0,8,3,2,Other,3,2014-09-05,0,48,24,36,13,61,34,90,62,0,0,7,4,38,19,33,12,7,2,2,0,3,3,1,1,24,12,26,5,7,5,3,2,17,7,7,6,0,Featherweight,900,3,0
TJ Dillashaw,Joe Soto,1,0,0.33,0.31,0.66,0.0,0,0,1,0,0,0,KO,5,2014-08-30,0,454,151,197,62,461,156,198,63,3,2,5,0,400,113,184,53,33,22,8,6,21,16,5,3,440,144,194,62,10,6,3,0,4,1,0,0,1,Bantamweight,1340,5,1
Tony Ferguson,Danny Castillo,0,0,0.28,0.21,0.0,0.25,1,1,0,3,1,1,Other,3,2014-08-30,0,80,23,105,23,130,71,114,30,0,0,8,2,62,10,102,23,3,3,3,0,15,10,0,0,76,22,95,21,3,0,0,0,1,1,10,2,0,Lightweight,900,3,1
Bethe Correia,Shayna Baszler,0,0,0.66,0.26,0.0,0.25,0,1,0,0,0,0,KO,2,2014-08-30,0,103,68,30,8,132,97,41,19,0,0,4,1,79,50,30,8,23,17,0,0,1,1,0,0,66,42,20,4,36,25,10,4,1,1,0,0,0,Women's Bantamweight,416,3,1
Ramsey Nijem,Diego Ferreira,0,1,0.31,0.35,0.5,0.0,0,2,1,0,0,1,KO,2,2014-08-30,0,58,18,70,25,67,27,79,33,4,2,0,0,52,13,56,17,4,3,11,6,2,2,3,2,46,15,61,16,1,0,0,0,11,3,9,9,0,Lightweight,413,3,0
Yancy Medeiros,Damon Jackson,0,0,0.52,0.4,0.0,0.0,2,0,0,0,0,0,Submission,2,2014-08-30,0,55,29,49,20,62,36,51,22,0,0,5,0,38,16,34,11,15,11,11,5,2,2,4,4,45,21,40,15,10,8,9,5,0,0,0,0,0,Lightweight,414,3,1
Lorenz Larkin,Derek Brunson,0,0,0.5,0.4,0.0,0.33,0,1,0,7,0,0,Other,3,2014-08-30,0,40,20,30,12,53,32,125,98,0,0,12,4,24,7,27,10,15,13,2,2,1,0,1,0,34,15,22,4,6,5,2,2,0,0,6,6,0,Middleweight,900,3,0
Ruan Potts,Anthony Hamilton,0,0,0.34,0.93,0.0,0.83,0,0,0,3,0,0,KO,2,2014-08-30,0,29,10,64,60,45,24,87,82,3,0,6,5,23,7,5,2,2,1,53,53,4,2,6,5,27,8,6,4,2,2,5,5,0,0,53,51,0,Heavyweight,557,3,0
Chris Wade,Cain Carrizosa,0,0,0.0,0.0,1.0,0.0,1,0,1,0,0,0,Submission,1,2014-08-30,0,1,0,3,0,6,5,3,0,1,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,Lightweight,72,3,1
Benson Henderson,Rafael Dos Anjos,0,1,0.37,0.6,0.0,0.0,0,0,0,0,0,0,KO,1,2014-08-23,0,27,10,30,18,27,10,30,18,1,0,0,0,18,3,22,11,6,4,5,4,3,3,3,3,27,10,25,15,0,0,2,2,0,0,3,1,0,Lightweight,151,5,0
Mike Pyle,Jordan Mein,0,1,0.25,0.66,0.0,0.0,0,0,0,0,0,0,KO,1,2014-08-23,0,8,2,15,10,8,2,15,10,2,0,0,0,4,0,14,9,2,0,0,0,2,2,1,1,8,2,8,5,0,0,0,0,0,0,7,5,0,Welterweight,72,3,0
Francis Carmont,Thales Leites,0,1,0.35,0.41,0.0,0.0,0,0,0,0,0,0,KO,2,2014-08-23,0,51,18,43,18,51,18,44,19,1,0,1,0,39,9,33,11,4,2,6,3,8,7,4,4,49,16,31,12,2,2,9,5,0,0,3,1,0,Middleweight,320,3,0
Max Holloway,Clay Collard,0,0,0.6,0.33,0.0,0.1,0,0,4,0,0,1,KO,3,2014-08-23,0,204,124,209,70,219,137,213,73,0,0,10,1,170,95,155,38,29,26,31,16,5,3,23,16,143,70,181,52,17,14,21,14,44,40,7,4,0,Catch Weight,827,3,1
James Vick,Valmir Lazaro,1,0,0.34,0.39,0.0,0.4,0,0,0,1,1,0,Other,3,2014-08-23,0,221,77,231,91,227,83,236,96,1,0,10,4,189,51,190,64,19,15,26,15,13,11,15,12,210,68,209,79,11,9,22,12,0,0,0,0,0,Lightweight,900,3,1
Chas Skelly,Tom Niinimaki,0,0,0.18,0.25,1.0,0.0,1,1,4,0,0,0,Submission,1,2014-08-23,0,11,2,4,1,12,3,6,3,1,1,0,0,11,2,4,1,0,0,0,0,0,0,0,0,9,1,3,1,2,1,1,0,0,0,0,0,0,Featherweight,155,3,1
Neil Magny,Alex Garcia,0,0,0.49,0.12,0.5,0.42,0,0,2,2,0,1,Other,3,2014-08-23,0,79,39,39,5,175,130,68,27,6,3,7,3,56,18,35,4,7,6,4,1,16,15,0,0,51,16,34,4,18,17,1,0,10,6,4,1,0,Welterweight,900,3,1
Beneil Dariush,Anthony Rocco Martin,0,0,0.42,0.47,0.66,0.25,1,0,2,1,0,0,Submission,2,2014-08-23,0,61,26,72,34,65,30,76,38,3,2,4,1,32,6,59,24,24,17,4,2,5,3,9,8,47,15,61,27,14,11,11,7,0,0,0,0,0,Lightweight,518,3,1
Aaron Phillips,Matt Hobar,0,0,0.7,0.63,0.0,0.66,0,0,0,6,0,0,Other,3,2014-08-23,0,54,38,100,63,279,230,172,120,1,0,9,6,39,23,85,51,12,12,11,8,3,3,4,4,25,14,15,6,18,17,28,21,11,7,57,36,0,Bantamweight,900,3,0
Ben Saunders,Chris Heatherly,0,0,0.66,0.8,0.0,1.0,2,0,0,1,0,0,Submission,1,2014-08-23,0,6,4,5,4,11,6,9,7,0,0,1,1,3,1,2,1,1,1,3,3,2,2,0,0,4,3,4,3,0,0,0,0,2,1,1,1,0,Welterweight,138,3,1
Wilson Reis,Joby Sanchez,0,1,0.32,0.23,0.64,0.0,1,0,9,1,0,1,Other,3,2014-08-23,0,67,22,86,20,138,70,102,36,14,9,0,0,55,13,75,16,5,2,11,4,7,7,0,0,61,18,74,15,4,2,3,0,2,2,9,5,0,Flyweight,900,3,1
Michael Bisping,Cung Le,1,0,0.34,0.34,0.0,0.0,0,0,0,0,0,0,KO,4,2014-08-23,0,270,92,110,38,270,92,110,38,0,0,0,0,236,68,67,9,24,16,33,19,10,8,10,10,265,88,110,38,2,2,0,0,3,2,0,0,0,Middleweight,957,5,1
Tyron Woodley,Dong Hyun Kim,1,0,0.86,0.5,0.0,0.0,0,0,0,0,0,0,KO,1,2014-08-23,0,15,13,4,2,15,13,21,19,0,0,0,0,10,8,2,0,1,1,2,2,4,4,0,0,2,1,2,0,6,6,2,2,7,6,0,0,0,Welterweight,61,3,1
Lipeng Zhang,Brendan O'Reilly,0,0,0.47,0.3,0.5,0.0,1,0,3,1,0,1,Other,3,2014-08-23,0,40,19,50,15,179,130,121,74,4,2,3,0,25,7,35,7,9,6,8,4,6,6,7,4,27,9,41,12,7,6,4,3,6,4,5,0,0,Lightweight,900,3,1
Ning Guangyou,Jianping Yang,0,0,0.34,0.26,0.66,0.25,1,0,3,1,0,0,Other,3,2014-08-23,0,91,31,78,21,103,41,82,24,3,2,4,1,64,13,47,4,14,8,4,0,13,10,27,17,86,28,77,21,4,3,1,0,1,0,0,0,1,Featherweight,900,4,1
Sai Wang,Danny Mitchell,0,0,0.51,0.48,0.0,0.0,0,1,0,0,0,0,Other,3,2014-08-23,0,124,64,120,58,178,111,147,83,2,0,8,0,93,38,79,27,20,17,16,14,11,9,25,17,89,35,108,48,22,18,12,10,13,11,0,0,0,Welterweight,900,3,1
Alberto Mina,Shinsho Anzai,1,0,0.58,0.67,0.0,1.0,0,0,1,1,1,0,KO,1,2014-08-23,0,58,34,46,31,62,38,60,41,2,0,1,1,53,30,44,29,5,4,2,2,0,0,0,0,44,22,40,26,5,3,6,5,9,9,0,0,0,Welterweight,257,3,1
