fighter_name,DOB,Height,Reach,Stance,Weight
Jamall Emmers,24-Jul-89,"5' 10""","74""",Orthodox,145 lbs.
Josh Emmett,4-Mar-85,"5' 6""","70""",Orthodox,145 lbs.
Marius Enache,16-Oct-75,"5' 11""",,,155 lbs.
Oliver Enkamp,10-Aug-91,"6' 0""","77""",Switch,170 lbs.
Alex Enlund,27-May-87,"5' 10""","73""",Orthodox,145 lbs.
Kenny Ento,,"6' 2""",,,192 lbs.
Ian Entwistle,19-Nov-86,"5' 5""","64""",Orthodox,135 lbs.
Andy Enz,15-Aug-91,"6' 3""","78""",Orthodox,185 lbs.
Won Jin Eoh,,"5' 7""",,Orthodox,160 lbs.
Josh Epps,23-Aug-86,,,,130 lbs.
Tom Erikson,,"6' 3""",,Orthodox,280 lbs.
Konstantin Erokhin,31-Jan-83,"5' 11""","73""",Orthodox,230 lbs.
Julian Erosa,31-Jul-89,"6' 1""","74""",Southpaw,145 lbs.
Bobby Escalante,,,,,130 lbs.
Eric Esch,3-Aug-68,"5' 11""",,Orthodox,350 lbs.
Cole Escovedo,30-Aug-81,"5' 7""","72""",Orthodox,135 lbs.
Efrain Escudero,15-Jan-86,"5' 9""","70""",Orthodox,155 lbs.
Carla Esparza,10-Oct-87,"5' 1""","63""",Orthodox,115 lbs.
Juan Espino,9-Oct-80,"6' 4""","82""",,250 lbs.
Jordan Espinosa,8-Nov-89,"5' 6""","69""",Orthodox,125 lbs.
Jodie Esquibel,7-May-86,"5' 1""","64""",Orthodox,115 lbs.
Terry Etim,11-Jan-86,"6' 1""","73""",Orthodox,155 lbs.
Fred Ettish,,"6' 0""",,Southpaw,180 lbs.
Sijara Eubanks,27-Apr-85,"5' 4""","67""",Orthodox,135 lbs.
Billy Evangelista,7-Oct-80,"5' 8""","68""",Orthodox,155 lbs.
Rashad Evans,25-Sep-79,"6' 0""","75""",Orthodox,205 lbs.
Doug Evans,10-Oct-80,"5' 9""",,Orthodox,155 lbs.
Ashlee Evans-Smith,9-Jul-87,"5' 8""","67""",Orthodox,125 lbs.
Dan Evensen,1-Jun-74,"6' 3""",,Orthodox,250 lbs.
Tonya Evinger,4-Jun-81,"5' 7""","70""",Orthodox,135 lbs.
Movsar Evloev,11-Feb-94,"5' 7""","72""",Orthodox,145 lbs.
Andre Ewell,21-Jan-88,"5' 8""","75""",Southpaw,135 lbs.
Neal Ewing,30-Sep-85,,,,185 lbs.
Jessica Eye,27-Jul-86,"5' 6""","66""",Orthodox,125 lbs.
Edward Faaloloto,15-Jul-84,,"70""",,155 lbs.
Urijah Faber,14-May-79,"5' 6""","67""",Orthodox,135 lbs.
Melinda Fabian,25-Jun-87,"5' 6""","66""",,125 lbs.
Wagnney Fabiano,14-Jul-75,"5' 6""","69""",Southpaw,145 lbs.
Bartosz Fabinski,26-Apr-86,"6' 0""","75""",Orthodox,170 lbs.
Ron Faircloth,16-Aug-79,"5' 9""",,Orthodox,205 lbs.
Jason Fairn,,"6' 1""",,,230 lbs.
Zarah Fairn,12-Dec-86,"5' 8""","72""",Orthodox,145 lbs.
Maiquel Falcao,8-Mar-81,"5' 11""",,Orthodox,185 lbs.
Brodie Farber,5-Jul-80,"6' 1""",,Orthodox,170 lbs.
Kalindra Faria,23-Jul-86,"5' 7""",,Switch,125 lbs.
Chance Farrar,11-Sep-75,"5' 9""",,Southpaw,145 lbs.
Rico Farrington,19-Jun-89,"6' 4""","79""",Southpaw,170 lbs.
Kelly Faszholz,9-Apr-85,"5' 8""","67""",Orthodox,135 lbs.
Rodney Faverus,,"6' 0""",,Southpaw,215 lbs.
Paul Felder,25-Apr-84,"5' 11""","70""",Orthodox,155 lbs.
Carlos Felipe,12-Jan-95,"6' 0""",,,245 lbs.
JP Felty,28-Apr-79,,,,170 lbs.
Kevin Ferguson,8-Feb-74,"6' 2""",,Orthodox,235 lbs.
Rhadi Ferguson,,"5' 7""",,,205 lbs.
Tony Ferguson,12-Feb-84,"5' 11""","76""",Orthodox,155 lbs.
Josh Ferguson,13-May-88,"5' 5""","66""",Orthodox,125 lbs.
CJ Fernandes,13-Nov-77,"6' 2""",,,170 lbs.
Bibiano Fernandes,30-Mar-80,"5' 7""",,Orthodox,139 lbs.
Alexandre Ferreira,25-Apr-79,"5' 7""",,Orthodox,205 lbs.
Cezar Ferreira,15-Feb-85,"6' 1""","78""",Southpaw,185 lbs.
Diego Ferreira,18-Jan-85,"5' 9""","74""",Orthodox,155 lbs.
Scott Ferrozzo,26-Apr-65,"5' 11""",,Orthodox,323 lbs.
Drew Fickett,14-Dec-79,"5' 10""","70""",Orthodox,155 lbs.
Scott Fiedler,,"6' 4""",,Orthodox,235 lbs.
Ron Fields,18-Nov-74,"6' 2""",,Orthodox,200 lbs.
Deiveson Figueiredo,18-Dec-87,"5' 5""","68""",Orthodox,125 lbs.
Anthony Figueroa,,"5' 4""",,Orthodox,135 lbs.
Edwin Figueroa,31-Jul-84,"5' 7""","69""",Orthodox,135 lbs.
Paulo Filho,24-May-78,"5' 8""",,Southpaw,185 lbs.
Andre Fili,25-Jun-90,"5' 11""","74""",Orthodox,145 lbs.
Mirko Cro Cop,10-Sep-74,"6' 2""","73""",Southpaw,230 lbs.
Brady Fink,,"6' 0""",,Orthodox,183 lbs.
Jesse Finney,11-Jul-74,"6' 0""",,,170 lbs.
Jan Finney,,"5' 8""",,Orthodox,135 lbs.
Luigi Fioravanti,22-Jan-81,"5' 8""","70""",Orthodox,170 lbs.
Luiz Firmino,18-Mar-82,"5' 6""",,Orthodox,154 lbs.
Spencer Fisher,9-May-76,"5' 7""","70""",Southpaw,155 lbs.
Chris Fishgold,6-Jun-92,"5' 8""","68""",Orthodox,145 lbs.
Bryanna Fissori,,"5' 4""",,,145 lbs.
Jon Fitch,24-Feb-78,"6' 0""","76""",Orthodox,170 lbs.
Rafael Fiziev,5-Mar-93,"5' 8""","71""",Switch,155 lbs.
Colin Fletcher,8-Jan-83,"6' 2""","78""",Orthodox,155 lbs.
Luke Flores,17-Mar-88,"6' 0""",,Southpaw,155 lbs.
Kenny Florian,26-May-76,"5' 10""","74""",Southpaw,145 lbs.
Cody Floyd,18-Jul-88,,,,
Caros Fodor,7-Jan-84,"5' 9""","76""",Orthodox,155 lbs.
Mal Foki,,"5' 7""",,Orthodox,220 lbs.
Rob Font,25-Jun-87,"5' 8""","71""",Orthodox,135 lbs.
Claudionor Fontinelle,,"5' 5""",,Orthodox,185 lbs.
Jesse Forbes,24-Oct-84,"6' 2""","75""",Southpaw,185 lbs.
Sterling Ford,12-Mar-86,"5' 10""",,,155 lbs.
Codale Ford,13-May-79,"5' 9""",,,170 lbs.
Renee Forte,27-Mar-87,"5' 7""","71""",Orthodox,155 lbs.
Marcel Fortuna,22-Oct-85,"6' 1""","74""",Orthodox,205 lbs.
Brian Foster,3-Apr-84,"5' 9""","71""",Orthodox,170 lbs.
Xavier Foupa-Pokam,3-Jul-82,"6' 1""",,Open Stance,185 lbs.
Brandon Foxworth,28-Apr-79,"5' 11""",,Orthodox,145 lbs.
Hermes Franca,26-Aug-74,"5' 6""","71""",Orthodox,155 lbs.
Glaico Franca,28-Feb-91,"6' 0""","77""",Orthodox,155 lbs.
Francisco France,21-Jan-83,"6' 0""",,,205 lbs.
John Franchi,16-Jul-82,"5' 6""","67""",Orthodox,145 lbs.
Rich Franklin,5-Oct-74,"6' 1""","75""",Southpaw,185 lbs.
Zane Frazier,,"6' 5""",,Orthodox,250 lbs.
Gary Frazier,,"6' 0""",,Orthodox,245 lbs.
Justin Frazier,15-Jun-89,"6' 0""","75""",Southpaw,265 lbs.
Ian Freeman,10-Nov-66,"5' 11""",,Orthodox,225 lbs.
Jason Freeman,2-Sep-76,"6' 2""",,,225 lbs.
Willamy Freire,28-Jul-87,"5' 8""",,,155 lbs.
Patricio Freire,7-Jul-87,"5' 5""",,,145 lbs.
Patricky Freire,1-Jun-86,"5' 7""",,,155 lbs.
Donavon Frelow,20-Jan-85,"5' 7""",,Orthodox,135 lbs.
Clay French,7-Oct-80,"5' 7""",,Southpaw,161 lbs.
Mike French,29-May-75,"5' 10""",,,145 lbs.
Matt Frevola,11-Jun-90,"5' 9""","71""",Orthodox,155 lbs.
Artem Frolov,7-Sep-91,"5' 10""",,,185 lbs.
Sarah Frota,14-Apr-87,"5' 6""","69""",Southpaw,125 lbs.
Don Frye,23-Nov-65,"6' 1""",,Orthodox,219 lbs.
Tony Fryklund,26-Mar-71,"6' 0""",,Orthodox,185 lbs.
Jesse Fujarczyk,28-Jan-83,"6' 4""",,Southpaw,225 lbs.
Katsuhisa Fujii,15-Aug-72,"6' 0""",,Orthodox,205 lbs.
Megumi Fujii,26-Apr-74,"5' 3""",,,113 lbs.
Kazuyuki Fujita,16-Oct-70,"6' 0""",,Orthodox,235 lbs.
Keisuke Fujiwara,,"5' 6""",,Switch,139 lbs.
Riki Fukuda,6-Jan-81,"6' 0""","73""",Southpaw,185 lbs.
Masio Fullen,6-Oct-86,"5' 10""","70""",Orthodox,145 lbs.
Travis Fulton,29-May-77,"6' 0""",,Orthodox,240 lbs.
Masakatsu Funaki,13-Mar-69,"6' 0""",,Southpaw,185 lbs.
Ricardo Funch,14-Aug-80,"5' 10""","76""",Southpaw,170 lbs.
Katsuaki Furuki,10-Nov-80,"6' 0""",,,168 lbs.
James Gabert,,,,,178 lbs.
Gustavo Gabriel,1-Apr-94,"5' 6""",,Orthodox,125 lbs.
Claudia Gadelha,7-Dec-88,"5' 4""","63""",Orthodox,115 lbs.
Alavutdin Gadjiev,23-Jun-82,"6' 2""",,Orthodox,185 lbs.
Justin Gaethje,14-Nov-88,"5' 11""","70""",Orthodox,155 lbs.
Sheila Gaff,29-Dec-89,"5' 5""","62""",Orthodox,135 lbs.
Muin Gafurov,17-May-96,"5' 7""",,,135 lbs.
Mitch Gagnon,10-Oct-84,"5' 5""","65""",Southpaw,135 lbs.
Brandon Gaines,,"6' 3""",,,185 lbs.
Travis Galbraith,18-May-81,"6' 0""",,Orthodox,170 lbs.
Dave Galera,12-Jan-78,"5' 11""",,Orthodox,135 lbs.
Zelg Galesic,16-Feb-79,"6' 2""",,Orthodox,185 lbs.
Mickey Gall,22-Jan-92,"6' 2""","74""",Switch,170 lbs.
Daniel Gallemore,,"6' 5""",,,265 lbs.
Tom Gallicchio,23-Sep-86,"5' 10""","73""",Southpaw,170 lbs.
Turrell Galloway,,"5' 3""",,,145 lbs.
Andre Galvao,29-Sep-82,"5' 7""",,Orthodox,168 lbs.
Marcos Galvao,23-Jun-81,"5' 7""",,Orthodox,135 lbs.
Joey Gambino,26-Oct-88,"5' 7""",,Orthodox,145 lbs.
Manvel Gamburyan,8-May-81,"5' 5""","67""",Orthodox,135 lbs.
Shamil Gamzatov,9-Aug-90,"6' 2""","76""",Orthodox,205 lbs.
Ariel Gandulla,7-May-68,"5' 11""",,Orthodox,205 lbs.
Ciryl Gane,12-Apr-90,"6' 4""","81""",Orthodox,245 lbs.
Sean Gannon,,"6' 3""",,Southpaw,265 lbs.
Eduardo Garagorri,28-May-89,"5' 9""","70""",Orthodox,145 lbs.
Cody Garbrandt,7-Jul-91,"5' 8""","65""",Orthodox,135 lbs.
Leonard Garcia,14-Jul-79,"5' 10""","69""",Orthodox,145 lbs.
Edgar Garcia,22-Feb-84,"5' 10""","71""",Orthodox,170 lbs.
Alex Garcia,14-Jul-87,"5' 9""","72""",Orthodox,170 lbs.
Steve Garcia,22-May-92,"6' 0""","75""",Southpaw,155 lbs.
Elias Garcia,13-Sep-92,"5' 5""","67""",Southpaw,125 lbs.
Rulon Gardner,16-Aug-71,"6' 3""",,Orthodox,265 lbs.
David Gardner,17-May-77,"5' 11""",,Orthodox,155 lbs.
Pablo Garza,16-Sep-83,"6' 1""","73""",Orthodox,145 lbs.
Azamat Gashimov,7-Apr-90,"5' 6""","66""",Orthodox,125 lbs.
Brian Gassaway,7-Aug-72,"6' 1""",,Orthodox,170 lbs.
Kelvin Gastelum,24-Oct-91,"5' 9""","71""",Southpaw,185 lbs.
Willie Gates,21-Jan-87,"5' 8""","70""",Orthodox,125 lbs.
Melissa Gatto,5-Feb-96,"5' 5""",,Orthodox,135 lbs.
Louis Gaudinot,28-Aug-84,"5' 3""","63""",Orthodox,125 lbs.
Charlene Gellner,,"5' 2""",,,125 lbs.
Chad George,30-Apr-82,"5' 6""","68""",Southpaw,135 lbs.
Paul Georgieff,22-Sep-82,"6' 2""",,Orthodox,170 lbs.
Brian Geraghty,4-Nov-80,"5' 7""",,Orthodox,155 lbs.
Derek Getzel,,"6' 0""",,,155 lbs.
Karine Gevorgyan,9-Mar-89,"5' 4""","63""",,125 lbs.
Darrel Gholar,,"5' 8""",,Orthodox,194 lbs.
Tiki Ghosn,9-Feb-77,"5' 10""",,Orthodox,170 lbs.
Christos Giagos,23-Jan-90,"5' 10""","71""",Orthodox,155 lbs.
Joe Giannetti,5-Jul-95,"6' 0""","74""",Southpaw,155 lbs.
James Giboo,6-Jan-78,"5' 11""",,Orthodox,170 lbs.
Lance Gibson,20-Nov-70,"5' 9""",,Orthodox,185 lbs.
Lee Gibson,,"5' 7""",,,155 lbs.
Cody Gibson,11-Sep-87,"5' 10""","71""",Orthodox,135 lbs.
Thomas Gifford,26-Jul-92,"6' 1""","75""",Orthodox,155 lbs.
Joe Gigliotti,13-Aug-93,"5' 11""","69""",Orthodox,185 lbs.
Joey Gilbert,5-Jun-76,"5' 11""",,Orthodox,155 lbs.
Trevin Giles,6-Aug-92,"6' 0""","74""",Orthodox,185 lbs.
Kultar Gill,24-Mar-79,"6' 0""",,Orthodox,154 lbs.
Gregor Gillespie,13-Nov-86,"5' 7""","71""",Orthodox,155 lbs.
Alex Gilpin,26-Mar-92,"5' 7""","72""",Orthodox,145 lbs.
Bob Gilstrap,,"6' 3""",,Orthodox,200 lbs.
Demetrius Gioulacos,,"5' 11""",,,185 lbs.
Billy Giovanella,20-Aug-85,"5' 8""",,,125 lbs.
Israel Giron,16-Jan-74,"5' 8""",,,155 lbs.
Brandon Girtz,6-Mar-85,"5' 7""",,,155 lbs.
Jason Glaza,,"6' 0""",,,230 lbs.
Mike Glenn,9-Oct-77,,,,205 lbs.
Rick Glenn,12-Apr-89,"6' 0""","70""",Southpaw,145 lbs.
Mark Godbeer,22-Nov-83,"6' 4""","77""",Orthodox,240 lbs.
Clint Godfrey,21-Oct-82,"5' 6""",,Southpaw,135 lbs.
Jason Godsey,,"6' 2""",,Orthodox,230 lbs.
Allan Goes,20-Apr-71,"6' 0""",,Orthodox,205 lbs.
Hannah Goldy,18-May-92,"5' 4""","61""",Orthodox,125 lbs.
Marcelo Golm,15-Sep-92,"6' 3""","75""",Orthodox,249 lbs.
Sergio Gomez,29-Apr-82,"5' 6""",,Orthodox,155 lbs.
Frank Gomez,31-Mar-86,"5' 10""","67""",Orthodox,135 lbs.
David Gomez,8-Aug-83,,,,155 lbs.
Ulysses Gomez,25-May-83,"5' 6""","66""",Orthodox,125 lbs.
Joey Gomez,29-Aug-89,"5' 10""","71""",Orthodox,155 lbs.
Luis Gomez,28-Jan-95,"5' 7""","68""",Orthodox,145 lbs.
Silvana Juarez,12-Jun-84,"5' 3""",,Orthodox,125 lbs.
Takanori Gomi,22-Sep-78,"5' 7""","70""",Southpaw,155 lbs.
Akihiro Gono,7-Oct-74,"5' 7""","68""",Switch,170 lbs.
Gabriel Gonzaga,18-May-79,"6' 2""","76""",Orthodox,242 lbs.
Justin Gonzales,28-Apr-91,"5' 9""","72""",Orthodox,145 lbs.
Fernando Gonzalez,15-Sep-83,"5' 9""","68""",Southpaw,170 lbs.
Nick Gonzalez,3-Mar-81,"5' 6""",,Orthodox,155 lbs.
Fabian Gonzalez,,"5' 10""",,,135 lbs.
Lewis Gonzalez,19-Sep-87,"5' 10""","73""",Orthodox,170 lbs.
Jason Gonzalez,28-Feb-90,"6' 2""","74""",Southpaw,155 lbs.
Pearl Gonzalez,12-Aug-86,"5' 4""","68""",Orthodox,115 lbs.
Kier Gooch,21-Apr-86,,,,155 lbs.
Lyman Good,26-May-85,"6' 0""","74""",Orthodox,170 lbs.
Gary Goodridge,17-Jan-66,"6' 3""",,Orthodox,249 lbs.
Gerard Gordeau,30-Mar-59,"6' 5""",,Orthodox,216 lbs.
Eddie Gordon,22-Jul-83,"6' 0""","76""",Orthodox,185 lbs.
Jared Gordon,6-Sep-88,"5' 9""","68""",Orthodox,155 lbs.
Tebaris Gordon,19-Jul-88,"6' 1""","78""",Orthodox,265 lbs.
Alex Gorgees,11-Aug-95,"6' 2""","74""",Switch,155 lbs.
Tim Gorman,29-Apr-83,"5' 5""","68""",Southpaw,135 lbs.
Chase Gormley,,"6' 3""",,Orthodox,265 lbs.
Jonathan Goulet,13-Jul-79,"6' 0""","73""",Orthodox,170 lbs.
Thibault Gouti,27-Feb-87,"5' 10""","72""",Orthodox,155 lbs.
Wilson Gouveia,3-Oct-78,"6' 1""","76""",Orthodox,185 lbs.
Todd Gouwenberg,25-Sep-74,"6' 1""",,Orthodox,205 lbs.
Damian Grabowski,12-May-80,"6' 1""","75""",Orthodox,241 lbs.
Royce Gracie,12-Dec-66,"6' 1""",,Southpaw,175 lbs.
Crosley Gracie,18-Jul-79,"5' 9""",,Orthodox,190 lbs.
Daniel Gracie,,"6' 2""",,Orthodox,225 lbs.
Ralph Gracie,,"5' 9""",,Orthodox,183 lbs.
Renzo Gracie,11-Mar-67,"5' 10""",,Orthodox,185 lbs.
Rickson Gracie,20-Nov-58,"5' 10""",,Switch,185 lbs.
Rodrigo Gracie,11-Apr-75,"6' 0""",,Orthodox,183 lbs.
Royler Gracie,6-Dec-65,"5' 8""",,Southpaw,150 lbs.
Ryan Gracie,14-Aug-74,"5' 9""",,Orthodox,200 lbs.
Ralek Gracie,4-Oct-85,"6' 2""",,Orthodox,210 lbs.
Rolles Gracie,14-Jul-78,"6' 4""",,Orthodox,242 lbs.
Cesar Gracie,,"5' 10""",,Orthodox,181 lbs.
Roger Gracie,26-Sep-81,"6' 4""","79""",Orthodox,185 lbs.
Igor Gracie,4-Feb-80,"5' 11""",,,170 lbs.
Kron Gracie,11-Jul-88,"5' 9""","70""",Southpaw,145 lbs.
Steven Graham,,"6' 1""",,Orthodox,290 lbs.
Scott Graham,,"6' 4""",,Orthodox,185 lbs.
Miranda Granger,13-Apr-92,"5' 7""","68""",Orthodox,125 lbs.
TJ Grant,26-Feb-84,"5' 10""","72""",Orthodox,155 lbs.
Davey Grant,18-Dec-85,"5' 8""","69""",Orthodox,135 lbs.
Dwight Grant,14-Sep-84,"6' 1""","76""",Switch,170 lbs.
Alexa Grasso,9-Aug-93,"5' 5""","66""",Orthodox,115 lbs.
Tony Gravely,28-Sep-91,"5' 5""","69""",Orthodox,135 lbs.
Michael Graves,8-Jan-91,"5' 10""","71""",Orthodox,170 lbs.
Shelton Graves,23-Oct-85,"6' 2""","76""",Southpaw,255 lbs.
James Gray,25-Oct-87,"5' 9""",,Orthodox,135 lbs.
Kevin Gray,3-May-85,"5' 4""","67""",Orthodox,125 lbs.
Sam Greco,3-May-67,"6' 2""",,Orthodox,205 lbs.
Bobby Green,9-Sep-86,"5' 10""","71""",Orthodox,155 lbs.
Desmond Green,11-Oct-89,"5' 10""","73""",Southpaw,155 lbs.
Gabe Green,2-May-93,"5' 10""","73""",Switch,170 lbs.
Maurice Greene,5-Jul-86,"6' 7""","80""",Orthodox,258 lbs.
Matt Grice,29-Jul-81,"5' 8""","70""",Orthodox,145 lbs.
Forrest Griffin,16-Mar-79,"6' 3""","77""",Orthodox,205 lbs.
Tyson Griffin,20-Apr-84,"5' 6""","68""",Orthodox,145 lbs.
Max Griffin,29-Nov-85,"5' 11""","76""",Orthodox,170 lbs.
Jordan Griffin,28-Feb-90,"5' 10""","73""",Southpaw,145 lbs.
Chad Griggs,15-May-78,"6' 1""","73""",Orthodox,205 lbs.
Chuck Grigsby,,"6' 6""",,Orthodox,205 lbs.
Rodrigo Gripp de Sousa,,"5' 11""",,Orthodox,205 lbs.
Josh Grispi,14-Oct-88,"5' 11""","74""",Orthodox,145 lbs.
Garrett Gross,8-Aug-88,"5' 9""","69""",Orthodox,155 lbs.
Kendall Grove,12-Nov-82,"6' 6""","79""",Orthodox,185 lbs.
Neil Grove,18-Jan-71,"6' 6""",,Orthodox,265 lbs.
Chris Gruetzemacher,16-Jun-86,"5' 8""","68""",Orthodox,155 lbs.
Vik Grujic,6-Feb-77,"5' 11""","73""",Orthodox,170 lbs.
Mike Grundy,3-Jan-87,"5' 7""","72""",Orthodox,145 lbs.
Wang Guan,14-Mar-86,"5' 9""","71""",Orthodox,145 lbs.
Nandor Guelmino,20-Dec-75,"6' 3""","76""",,230 lbs.
Fabricio Guerreiro,24-Jul-90,"5' 10""",,,145 lbs.
Shannon Gugerty,30-Dec-81,"5' 10""","71""",Orthodox,155 lbs.
Clay Guida,8-Dec-81,"5' 7""","70""",Orthodox,155 lbs.
Jason Guida,4-Aug-77,"5' 10""",,,214 lbs.
Melvin Guillard,30-Mar-83,"5' 9""","68""",Orthodox,155 lbs.
Chris Guillen,9-Dec-72,"6' 0""",,Orthodox,240 lbs.
Marcelo Guimaraes,25-Jun-83,"6' 0""","73""",Orthodox,185 lbs.
Leonardo Augusto Leleco,15-Apr-82,"6' 0""","73""",Orthodox,185 lbs.
John Gunderson,5-Jan-79,"5' 9""","69""",Orthodox,155 lbs.
John Gunther,24-Nov-85,"5' 9""","72""",Orthodox,155 lbs.
Jorge Gurgel,25-Jan-77,"5' 7""","69""",Orthodox,155 lbs.
Fabio Gurgel,,"6' 0""",,Orthodox,205 lbs.
Andre Gusmao,19-May-77,"6' 0""",,Orthodox,205 lbs.
Alexander Gustafsson,15-Jan-87,"6' 5""","79""",Orthodox,205 lbs.
Justin Guthrie,19-Jan-81,"6' 1""",,,170 lbs.
Horacio Gutierrez,15-Sep-90,"5' 10""","69""",,145 lbs.
Chris Gutierrez,22-Apr-91,"5' 9""","67""",Orthodox,145 lbs.
Mike Guymon,17-Sep-74,"6' 0""","74""",Orthodox,170 lbs.
Keith Hackney,,"5' 11""",,Sideways,200 lbs.
Damir Hadzovic,8-Aug-86,"5' 9""","70""",Orthodox,155 lbs.
Tim Hague,9-May-83,"6' 4""","76""",Orthodox,260 lbs.
Yazan Hajeh,4-Sep-92,"5' 9""","73""",Orthodox,145 lbs.
Stoney Hale,18-Oct-79,"6' 0""",,,
Mark Hall,,"6' 0""",,Orthodox,190 lbs.
Uriah Hall,31-Jul-84,"6' 0""","79""",Orthodox,185 lbs.
Ryan Hall,22-Feb-85,"5' 10""","70""",Southpaw,145 lbs.
Dennis Hallman,2-Dec-75,"5' 9""","72""",Orthodox,155 lbs.
Piotr Hallmann,25-Aug-87,"5' 9""","71""",Orthodox,155 lbs.
Tony Halme,6-Jan-63,"6' 3""",,Orthodox,300 lbs.
Brandon Halsey,16-Sep-86,"6' 0""",,,185 lbs.
John Halverson,8-Sep-72,"5' 9""",,Southpaw,155 lbs.
Seohee Ham,8-Mar-87,"5' 2""","62""",Southpaw,115 lbs.
Kazuhiro Hamanaka,24-Oct-78,"6' 0""",,Southpaw,185 lbs.
Matt Hamill,5-Oct-76,"6' 1""","76""",Orthodox,205 lbs.
Jeremy Hamilton,14-Nov-84,,,,185 lbs.
Anthony Hamilton,14-Apr-80,"6' 5""","76""",Orthodox,260 lbs.
CJ Hamilton,7-Oct-86,"5' 7""","68""",Switch,125 lbs.
Jared Hamman,7-Mar-82,"6' 3""","75""",Orthodox,185 lbs.
James Hammortree,29-Nov-83,"6' 3""",,Orthodox,185 lbs.
Joachim Hansen,26-May-79,"5' 7""",,Southpaw,150 lbs.
Nasrat Haqparast,22-Aug-95,"5' 10""","72""",Southpaw,155 lbs.
Antoni Hardonk,5-Feb-76,"6' 4""","78""",Orthodox,245 lbs.
Dan Hardy,17-May-82,"6' 0""","74""",Orthodox,170 lbs.
Greg Hardy,28-Jul-88,"6' 5""","80""",Orthodox,265 lbs.
Baru Harn,,,,,265 lbs.
Scott Harper,14-Apr-72,"6' 0""",,Orthodox,185 lbs.
Gerry Harris,,"6' 8""",,Orthodox,270 lbs.
Gerald Harris,19-Nov-79,"5' 11""","77""",Southpaw,185 lbs.
Phil Harris,4-Sep-83,"5' 4""","64""",Orthodox,125 lbs.
Walt Harris,10-Jun-83,"6' 5""","77""",Southpaw,250 lbs.
Dhafir Harris,4-Aug-77,,,,257 lbs.
Collin Hart,12-Oct-89,"6' 1""","76""",Orthodox,185 lbs.
Dale Hartt,4-Apr-79,"5' 10""","69""",Orthodox,155 lbs.
Clay Harvison,25-Sep-80,"6' 1""","74""",Orthodox,170 lbs.
Hidehiko Hasegawa,13-Jul-78,"5' 9""",,,170 lbs.
Chris Haseman,2-Jun-69,"5' 11""",,Orthodox,205 lbs.
Takayo Hashi,2-Oct-77,"5' 4""",,Orthodox,135 lbs.
Tomohiko Hashimoto,,"6' 0""",,Orthodox,250 lbs.
Justin Haskins,30-Aug-79,"5' 10""",,Orthodox,170 lbs.
Hayder Hassan,20-Oct-82,"5' 10""","70""",,170 lbs.
Daiki Hata,24-Aug-82,"5' 6""",,Orthodox,139 lbs.
John Hathaway,23-Jul-87,"6' 1""","75""",Orthodox,170 lbs.
Phil Hawes,8-Jan-89,"6' 1""","70""",Orthodox,185 lbs.
Justin Hawes,13-Jan-79,"5' 11""",,,205 lbs.
Del Hawkins,,"5' 5""",,Orthodox,135 lbs.
Tommy Hayden,11-Mar-86,"5' 9""","72""",Southpaw,145 lbs.
Gerric Hayes,,"5' 10""",,,
Josh Haynes,30-Jul-77,"5' 9""",,Orthodox,170 lbs.
Dustin Hazelett,29-Apr-86,"6' 1""","76""",Orthodox,170 lbs.
James Head,9-Feb-84,"6' 1""","73""",Orthodox,170 lbs.
Pat Healy,20-Jul-83,"6' 0""","74""",Orthodox,155 lbs.
Ryan Healy,20-Jul-83,"6' 1""",,Orthodox,155 lbs.
David Heath,10-Feb-76,"5' 11""","72""",Orthodox,205 lbs.
Chris Heatherly,24-Nov-87,"5' 9""","68""",Orthodox,155 lbs.
Jake Hecht,9-Feb-84,"6' 0""","76""",Orthodox,170 lbs.
Nick Hein,24-Apr-84,"5' 6""","66""",Southpaw,155 lbs.
Ian Heinisch,5-Aug-88,"5' 11""","72""",Orthodox,185 lbs.
Marcin Held,18-Jan-92,"5' 9""","71""",Orthodox,155 lbs.
Delson Heleno,16-Nov-77,"5' 11""",,Orthodox,185 lbs.
Elisha Helsper,6-Feb-83,"5' 6""",,Orthodox,135 lbs.
Dan Henderson,24-Aug-70,"5' 11""","74""",Orthodox,185 lbs.
Benson Henderson,16-Nov-83,"5' 9""","70""",Southpaw,170 lbs.
Ron Henderson,,"5' 10""",,,125 lbs.
Josh Hendricks,28-Aug-76,"6' 2""",,Southpaw,235 lbs.
Johny Hendricks,12-Sep-83,"5' 9""","69""",Southpaw,185 lbs.
Cory Hendricks,10-May-88,"6' 3""",,,205 lbs.
Luis Henrique,21-Aug-93,"6' 2""","74""",Orthodox,243 lbs.
Paulo Costa,21-Apr-91,"6' 1""","72""",Orthodox,185 lbs.
Diego Henrique da Silva,22-Aug-86,"6' 2""",,Orthodox,185 lbs.
Danny Henry,17-Jul-88,"6' 0""","73""",Orthodox,145 lbs.
Jai Herbert,13-May-88,"6' 1""",,Orthodox,155 lbs.
Ed Herman,2-Oct-80,"6' 1""","77""",Orthodox,205 lbs.
Dave Herman,3-Oct-84,"6' 4""","76""",Orthodox,242 lbs.
Jack Hermansson,10-Jun-88,"6' 1""","77""",Orthodox,185 lbs.
Junior Hernandez,22-Jul-86,"5' 9""","69""",Orthodox,135 lbs.
Alexander Hernandez,1-Oct-92,"5' 9""","72""",Orthodox,155 lbs.
