fighter_name,DOB,Height,Reach,Stance,Weight
Viviane Araujo,21-Nov-86,"5' 4""","68""",Orthodox,125 lbs.
Julio Arce,27-Oct-89,"5' 7""","70""",Southpaw,145 lbs.
Art Arciniega,15-Oct-81,"5' 8""",,,145 lbs.
Tristan Arenal,,,,,155 lbs.
Andrei Arlovski,4-Feb-79,"6' 3""","77""",Orthodox,240 lbs.
Austin Arnett,22-Oct-91,"6' 0""","72""",Orthodox,145 lbs.
Ricardo Arona,17-Jul-78,"5' 11""",,Orthodox,205 lbs.
Chalid Arrab,28-May-75,"5' 11""",,Orthodox,205 lbs.
Akbarh Arreola,14-Jan-83,"5' 10""","71""",Southpaw,155 lbs.
Matt Arroyo,1-Sep-82,"5' 10""","72""",Orthodox,170 lbs.
Antonio Arroyo,1-Jul-89,"6' 3""","73""",Orthodox,185 lbs.
Gilles Arsene,,"5' 9""",,Southpaw,190 lbs.
Veta Arteaga,,"5' 7""",,,125 lbs.
Cesar Arzamendia,31-Jan-91,"5' 11""","71""",Orthodox,155 lbs.
Teddy Ash,27-Dec-89,"6' 1""","73""",Switch,185 lbs.
Askar Askarov,9-Oct-92,"5' 6""","67""",Orthodox,125 lbs.
Cyril Asker,24-Dec-85,"6' 0""","74""",Orthodox,247 lbs.
Scott Askham,20-May-88,"6' 3""","75""",Southpaw,185 lbs.
Ben Askren,18-Jul-84,"5' 11""","73""",Orthodox,170 lbs.
Tom Aspinall,11-Apr-93,"6' 5""",,Orthodox,256 lbs.
Bruno Assis,23-May-92,"6' 2""",,Orthodox,185 lbs.
Junior Assuncao,24-Jun-81,"5' 9""","72""",Orthodox,145 lbs.
Raphael Assuncao,19-Jul-82,"5' 5""","66""",Orthodox,135 lbs.
Bazigit Atajev,,"6' 1""",,Orthodox,230 lbs.
Rich Attonito,16-Jun-77,"5' 10""","72""",Orthodox,170 lbs.
Olivier Aubin-Mercier,23-Feb-89,"5' 9""","70""",Southpaw,155 lbs.
Pat Audinwood,16-Apr-86,"6' 0""",,Orthodox,155 lbs.
Marcus Aurelio,18-Aug-73,"5' 10""","74""",Orthodox,155 lbs.
David Avellan,,"5' 9""",,Orthodox,185 lbs.
Blas Avena,30-Jun-83,"6' 0""","74""",Orthodox,170 lbs.
Levi Avera,17-May-82,"6' 1""",,,170 lbs.
Anthony Avila,29-Dec-88,"5' 7""",,,145 lbs.
Chris Avila,16-Jan-93,"5' 10""","72""",Orthodox,145 lbs.
Julia Avila,11-May-88,"5' 7""","68""",Orthodox,135 lbs.
Saad Awad,7-Jun-83,"5' 11""",,,155 lbs.
Javy Ayala,20-Aug-88,"6' 1""",,,265 lbs.
Jessin Ayari,31-May-92,"6' 0""","73""",Orthodox,155 lbs.
Abu Azaitar,10-Mar-86,"5' 9""","76""",Orthodox,185 lbs.
Ottman Azaitar,20-Feb-90,"5' 8""","71""",Switch,155 lbs.
Luiz Azeredo,10-Jun-76,"5' 9""",,Orthodox,154 lbs.
Luciano Azevedo,25-Jun-81,"6' 3""",,Orthodox,161 lbs.
Hunter Azure,2-Mar-92,"5' 8""","69""",Orthodox,145 lbs.
Niklas Backstrom,22-Aug-89,"6' 1""","74""",Orthodox,145 lbs.
Seth Baczynski,26-Oct-81,"6' 3""","74""",Orthodox,170 lbs.
Ryan Bader,7-Jun-83,"6' 2""","74""",Orthodox,205 lbs.
Izabela Badurek,11-Jul-91,"5' 5""",,Orthodox,115 lbs.
Miguel Baeza,23-Aug-92,"6' 2""","74""",Orthodox,170 lbs.
Ali Bagautinov,10-Jun-85,"5' 4""","65""",Orthodox,125 lbs.
Mehdi Baghdad,13-Apr-85,"6' 1""","75""",Orthodox,155 lbs.
Siyar Bahadurzada,17-Apr-84,"5' 11""","73""",Orthodox,170 lbs.
Shamar Bailey,22-Sep-82,"5' 9""","75""",Southpaw,155 lbs.
Jordan Bailey,,"5' 9""",,,145 lbs.
Scott Baker,,"6' 0""",,,210 lbs.
Bryan Baker,13-Oct-85,"6' 3""",,Orthodox,185 lbs.
Oluwale Bamgbose,4-Aug-87,"5' 11""","78""",Switch,185 lbs.
Stephen Banaszak,7-Dec-90,"6' 0""",,,145 lbs.
Marcin Bandel,10-Oct-89,"5' 10""","70""",Orthodox,155 lbs.
Humberto Bandenay,4-Sep-94,"5' 11""","71""",Southpaw,145 lbs.
Tae Hyun Bang,15-Apr-83,"5' 9""","71""",Switch,155 lbs.
Antonio Banuelos,23-Sep-79,"5' 5""","63""",Orthodox,135 lbs.
Renan Barao,31-Jan-87,"5' 6""","70""",Orthodox,145 lbs.
